# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
1732.7000 F1726 492511 1 6.7000 wm118 pm102 299 N wm118->pm102
1739.8000 F1628 427012 1 111.8000 pm105 p13 298 N pm105->p13
1768.5000 M19 580040 1 1211.5000 c35 w88 279 N c35->w88
1794.3000 F1720 237767 2 74.3000 wm119 t97 298 N wm119->t96->t97
1820.3000 F1188 203694 3 632.3000 cm110 cm116 289 N cm110->w76->c34->cm116
1826.4000 F1133 308677 2 693.4000 wm121 c61 288 N wm121->w68->c61
1860.3000 F939 199714 4 921.3000 cm111 wm123 284 N cm111->c57->w79->c47->wm123
1861.2000 F1802 214364 1 59.2000 wm123 c47 299 N wm123->c47
1871.3000 F1791 400301 1 80.3000 wm123 p14 298 N wm123->p14
1885.8000 F500 327729 3 1385.8000 pm109 c49 276 N pm109->p16->w85->c49
1892.1000 F1547 465054 3 345.1000 wm119 p21 294 N wm119->t96->t97->p21
1902.1000 M27 707738 1 1117.1000 t98 p23 281 N t98->p23
1960.4000 F1617 137911 1 343.4000 wm119 c56 294 N wm119->c56
1966.4000 F1782 200496 1 184.4000 wm123 t99 296 N wm123->t99
1978.5000 F1891 219733 1 87.5000 pm103 c36 298 N pm103->c36
1986.6000 F1545 224335 2 441.6000 wm119 w94 292 N wm119->t96->w94
1987.5000 F188 206530 2 1799.5000 cm113 w94 270 N cm113->t96->w94
1990.5000 M29 639593 2 1138.5000 w94 t97 281 N w94->t96->t97
2019.4000 F1362 354809 2 657.4000 pm106 w84 289 N pm106->p21->w84
2028.4000 F1721 236335 2 307.4000 pm105 t98 294 N pm105->p13->t98
2031.8000 F1642 481462 2 389.8000 wm119 pm102 293 N wm119->t96->pm102
2032.9000 F421 136774 3 1611.9000 pm104 c40 273 N pm104->w65->c56->c40
2033.5000 F607 137354 3 1426.5000 pm104 c40 276 N pm104->w65->c56->c40
2047.7000 F611 208601 3 1436.7000 pm104 pm102 276 N pm104->w65->c56->pm102
2091.5000 F1640 139061 2 451.5000 wm121 w70 292 N wm121->w86->w70
2102.2000 F1313 360399 2 789.2000 pm107 t97 286 N pm107->c40->t97
2116.9000 F908 329527 4 1208.9000 wm120 cm110 279 N wm120->t99->t96->t97->cm110
2125.3000 F924 128157 3 1201.3000 pm108 t99 279 N pm108->p15->c38->t99
2144.5000 F1989 171976 1 155.5000 cm117 pm103 297 N cm117->pm103
2163.9000 F1835 418896 1 328.9000 wm118 p30 294 N wm118->p30
2167.3000 F81 307478 3 2086.3000 cm112 pm102 265 N cm112->w95->t97->pm102
2183.9000 F627 454264 4 1556.9000 pm107 w94 274 N pm107->w76->c40->w75->w94
2190.6000 F2062 330561 1 128.6000 cm113 p0 297 N cm113->p0
2196.3000 F2143 362436 1 53.3000 pm102 c60 299 N pm102->c60
2209.5000 F667 302992 6 1542.5000 wm122 w90 274 N wm122->w64->w87->w92->w75->t96->w90
2210.4000 F1604 215041 2 606.4000 wm119 w90 289 N wm119->t96->w90
2220.3000 F811 221814 4 1409.3000 pm106 c36 276 N pm106->cm114->t97->t99->c36
2240.5000 F2006 133552 1 234.5000 cm112 cm117 296 N cm112->cm117
2248.8000 F1934 138370 1 314.8000 cm113 wm118 294 N cm113->wm118
2265.1000 F717 159484 3 1548.1000 wm125 p11 274 N wm125->c44->cm112->p11
2266.8000 F1559 244187 2 707.8000 wm121 c37 288 N wm121->w87->c37
2274.3000 F855 393529 2 1419.3000 cm111 w87 276 N cm111->c57->w87
2279.8000 F1682 307042 3 597.8000 wm123 pm103 290 N wm123->w77->t99->pm103
2303.8000 F2253 319069 1 50.8000 cm115 p18 299 N cm115->p18
2310.9000 F1276 397533 2 1034.9000 wm124 w89 282 N wm124->t101->w89
2317.4000 F2309 253407 1 8.4000 cm115 cm114 299 N cm115->cm114
2323.8000 F1582 496603 2 741.8000 wm119 p11 287 N wm119->t96->p11
2324.6000 F1715 192712 2 609.6000 pm103 t96 289 N pm103->c36->t96
2341.4000 F760 404664 4 1581.4000 pm107 cm113 273 N pm107->c60->c32->w79->cm113
