observer,neighbor,window_start,window_end,contacts,contact_time,tx_offer_M,tx_ok_M,tx_abort_M,rx_M,tx_offer_F,tx_ok_F,tx_abort_F,rx_F,buf_bytes_avg,buf_bytes_max,drop_buf_M,drop_buf_F
17,10,-1000,-700,1,-700,0,0,0,0,0,0,0,0,0.00,0,0,0
17,105,-1000,-700,1,-700,0,0,0,0,0,0,0,0,0.00,0,0,0
17,104,-1000,-700,1,-700,0,0,0,0,0,0,0,0,0.00,0,0,0
17,10,-700,-400,0,300,0,0,0,0,0,0,0,0,0.00,0,0,0
17,105,-700,-400,0,300,0,0,0,0,0,0,0,0,0.00,0,0,0
17,104,-700,-400,0,300,0,0,0,0,0,0,0,0,0.00,0,0,0
17,10,-400,-100,0,300,0,0,0,0,0,0,0,0,0.00,0,0,0
17,105,-400,-100,0,300,0,0,0,0,0,0,0,0,0.00,0,0,0
17,104,-400,-100,0,300,0,0,0,0,0,0,0,0,0.00,0,0,0
17,10,-100,200,0,103,0,0,0,0,0,0,0,0,99529.53,661032,0,0
17,105,-100,200,0,105,0,0,0,0,0,0,0,0,99529.53,661032,0,0
17,104,-100,200,0,105,0,0,0,0,0,0,0,0,99529.53,661032,0,0
17,71,-100,200,1,14,0,0,0,0,0,0,0,0,99529.53,661032,0,0
17,122,-100,200,1,13,0,0,0,0,0,0,0,0,99529.53,661032,0,0
17,115,200,500,1,2,0,0,0,0,0,0,0,0,661032.00,661032,0,0
17,115,500,800,1,3,0,0,0,0,0,0,0,0,661032.00,661032,0,0
17,3,500,800,1,16,0,0,0,0,0,0,0,0,661032.00,661032,0,0
17,60,800,1100,1,7,0,0,0,1,0,0,0,0,661032.00,661032,0,0
17,37,800,1100,1,1,1,0,1,0,0,0,0,0,661032.00,661032,0,0
17,45,1100,1400,1,3,0,0,0,0,0,0,0,0,661032.00,661032,0,0
17,60,1100,1400,1,1,0,0,0,0,0,0,0,0,661032.00,661032,0,0
17,63,1400,1700,1,2,1,0,1,0,0,0,0,0,915224.62,1063702,0,0
17,81,1400,1700,1,33,0,0,0,0,0,0,0,1,915224.62,1063702,0,0
17,44,1400,1700,1,3,0,0,0,0,0,0,0,1,915224.62,1063702,0,0
17,112,1700,2000,1,5,1,1,0,0,2,2,0,0,1063980.55,1985712,0,0
17,48,1700,2000,1,2,1,0,1,0,1,1,0,0,1063980.55,1985712,0,0
17,44,1700,2000,1,6,0,0,0,0,0,0,0,0,1063980.55,1985712,0,0
17,58,1700,2000,1,3,1,0,1,0,1,1,0,0,1063980.55,1985712,0,0
17,112,2000,2300,1,2,1,0,1,0,0,0,0,0,1985712.00,1985712,0,0
17,48,2000,2300,1,2,1,0,1,0,0,0,0,0,1985712.00,1985712,0,0
17,58,2000,2300,1,3,1,0,1,0,0,0,0,0,1985712.00,1985712,0,0
17,40,2300,2600,1,3,1,0,1,0,0,0,0,0,1985712.00,1985712,0,0
17,40,2600,2900,1,2,1,0,1,0,0,0,0,0,1985712.00,1985712,0,0
17,113,4100,4400,2,3,2,0,2,0,1,1,0,0,1985712.00,1985712,0,0
17,68,4100,4400,1,10,2,2,0,0,2,2,0,0,1985712.00,1985712,0,0
17,116,4400,4700,1,2,1,0,1,0,1,1,0,0,1985712.00,1985712,0,0
17,57,4400,4700,1,2,1,0,1,0,0,0,0,0,1985712.00,1985712,0,0
17,51,4400,4700,1,4,2,1,1,0,1,1,0,0,1985712.00,1985712,0,0
17,10,4700,5000,1,9,2,2,0,0,2,2,0,0,2279981.57,4821560,2,2
17,102,4700,5000,1,33,0,0,0,0,0,0,0,15,2279981.57,4821560,2,2
17,50,4700,5000,1,4,2,1,1,0,0,0,0,0,2279981.57,4821560,2,2
17,32,5000,5300,1,3,0,0,0,0,3,2,1,0,4821560.00,4821560,0,0
17,112,5000,5300,1,5,0,0,0,0,4,3,1,0,4821560.00,4821560,0,0
17,113,5000,5300,1,2,0,0,0,0,1,0,1,0,4821560.00,4821560,0,0
17,62,5000,5300,1,4,0,0,0,0,4,3,1,0,4821560.00,4821560,0,0
17,41,5300,5600,1,2,0,0,0,0,1,0,1,1,4287909.50,4821560,0,8
17,62,5300,5600,1,4,0,0,0,0,0,0,0,4,4287909.50,4821560,0,8
17,48,5300,5600,1,1,0,0,0,0,2,1,1,0,4287909.50,4821560,0,8
17,34,5300,5600,1,3,0,0,0,0,4,1,1,0,4287909.50,4821560,0,8
17,41,5600,5900,1,3,0,0,0,0,2,1,1,1,4466725.54,4769990,0,2
17,42,5600,5900,1,3,0,0,0,0,0,0,0,3,4466725.54,4769990,0,2
17,54,5600,5900,1,2,0,0,0,0,3,2,1,0,4466725.54,4769990,0,2
17,37,5600,5900,1,2,0,0,0,0,0,0,0,0,4466725.54,4769990,0,2
17,50,6200,6500,1,0,0,0,0,0,1,0,0,0,4278344.00,4278344,0,0
17,82,6500,6800,1,8,0,0,0,0,7,6,1,0,4438718.36,4519964,0,1
17,111,6500,6800,1,2,0,0,0,0,3,2,1,0,4438718.36,4519964,0,1
17,50,6500,6800,0,3,1,0,1,0,0,1,0,0,4438718.36,4519964,0,1
17,7,6800,7100,1,32,2,2,0,0,12,12,0,0,4519964.00,4519964,0,0
17,8,7100,7400,1,27,0,0,0,3,0,0,0,10,4500624.14,4802789,2,12
17,97,7100,7400,1,3,0,0,0,0,2,1,1,0,4500624.14,4802789,2,12
17,105,7100,7400,1,11,1,0,1,0,9,9,0,0,4500624.14,4802789,2,12
17,8,7400,7700,0,4,0,0,0,0,0,0,0,0,4337893.39,4628048,1,6
17,61,7400,7700,2,5,1,0,1,0,6,2,1,0,4337893.39,4628048,1,6
17,121,7400,7700,1,11,0,0,0,0,0,0,0,7,4337893.39,4628048,1,6
17,48,7400,7700,1,3,0,0,0,0,3,2,1,0,4337893.39,4628048,1,6
17,50,7400,7700,1,3,0,0,0,0,2,1,1,0,4337893.39,4628048,1,6
17,32,7700,8000,1,2,0,0,0,0,4,1,1,0,4398433.41,4583128,1,0
17,43,8300,8600,1,2,0,0,0,0,2,1,0,0,4583128.00,4583128,0,0
17,43,8600,8900,0,2,0,0,0,0,1,1,1,0,4583128.00,4583128,0,0
17,110,8600,8900,1,4,1,0,1,0,2,2,0,0,4583128.00,4583128,0,0
17,5,8600,8900,1,8,1,1,0,0,4,3,1,0,4583128.00,4583128,0,0
17,7,8900,9200,1,8,0,0,0,0,0,0,0,6,4647281.32,4712868,1,8
17,59,8900,9200,1,1,0,0,0,0,1,0,1,0,4647281.32,4712868,1,8
17,61,8900,9200,1,3,0,0,0,0,4,3,1,0,4647281.32,4712868,1,8
17,61,9200,9500,1,3,0,0,0,0,3,2,1,0,4712868.00,4712868,0,0
17,117,9500,9800,1,2,0,0,0,0,1,0,1,0,4712868.00,4712868,0,0
17,58,9500,9800,1,2,0,0,0,0,2,0,1,0,4712868.00,4712868,0,0
17,43,9800,10100,1,3,1,0,1,0,1,1,0,0,4757449.29,4766121,0,1
17,42,9800,10100,1,3,0,0,0,0,3,2,1,0,4757449.29,4766121,0,1
17,43,10100,10400,1,2,0,0,0,0,2,1,1,2,4840850.41,4868797,0,1
17,36,10100,10400,1,5,2,1,0,0,1,0,1,1,4840850.41,4868797,0,1
17,39,10100,10400,1,3,1,0,1,0,2,2,0,0,4840850.41,4868797,0,1
17,101,10400,10700,1,2,0,0,0,0,1,0,1,1,4812068.37,4868797,1,1
17,100,10400,10700,1,2,0,0,0,0,0,0,0,0,4812068.37,4868797,1,1
17,121,11000,11300,1,8,2,1,1,0,5,5,0,0,3573375.00,3573375,0,0
17,48,11000,11300,1,1,0,0,0,0,5,1,1,0,3573375.00,3573375,0,0
17,90,11300,11600,1,9,1,1,0,0,6,5,1,0,3573375.00,3573375,0,0
17,84,11300,11600,1,13,2,1,1,0,8,8,0,0,3573375.00,3573375,0,0
17,3,11300,11600,1,11,2,1,1,0,6,6,0,0,3573375.00,3573375,0,0
17,26,11600,11900,1,8,1,1,0,0,4,4,0,0,3573375.00,3573375,0,0
17,59,11600,11900,1,3,1,0,1,0,3,3,0,0,3573375.00,3573375,0,0
17,105,11600,11900,1,9,1,1,0,0,6,5,1,0,3573375.00,3573375,0,0
17,60,11600,11900,1,2,0,0,0,0,2,1,1,0,3573375.00,3573375,0,0
17,59,11900,12200,1,4,1,1,0,0,1,0,1,0,3573375.00,3573375,0,0
17,98,11900,12200,1,2,0,0,0,0,3,2,1,0,3573375.00,3573375,0,0
17,98,12200,12500,1,2,0,0,0,0,1,0,1,2,4166831.87,4618278,1,1
17,99,12200,12500,1,2,0,0,0,0,1,0,1,1,4166831.87,4618278,1,1
17,122,12200,12500,1,8,0,0,0,0,0,0,0,6,4166831.87,4618278,1,1
17,61,12500,12800,1,2,0,0,0,0,1,0,1,2,4573186.53,4837781,0,2
17,111,12500,12800,2,4,0,0,0,0,4,2,2,1,4573186.53,4837781,0,2
17,99,12500,12800,1,3,0,0,0,0,0,0,0,1,4573186.53,4837781,0,2
17,44,12500,12800,2,13,0,0,0,0,8,7,1,1,4573186.53,4837781,0,2
17,34,12500,12800,1,3,0,0,0,0,3,2,1,0,4573186.53,4837781,0,2
17,61,12800,13100,1,5,0,0,0,0,1,1,0,4,4645359.16,4837781,1,3
17,32,12800,13100,1,1,0,0,0,0,2,2,0,0,4645359.16,4837781,1,3
17,45,12800,13100,1,2,0,0,0,0,2,2,0,0,4645359.16,4837781,1,3
17,56,12800,13100,1,1,0,0,0,0,0,0,0,0,4645359.16,4837781,1,3
17,77,12800,13100,1,10,1,1,0,0,17,7,1,0,4645359.16,4837781,1,3
17,34,12800,13100,1,16,1,1,0,0,44,10,0,1,4645359.16,4837781,1,3
17,32,13100,13400,1,2,0,0,0,0,1,0,1,0,4513231.00,4513231,0,0
17,107,13100,13400,1,25,0,0,0,0,19,19,0,0,4513231.00,4513231,0,0
17,117,13100,13400,1,2,0,0,0,0,2,1,1,1,4513231.00,4513231,0,0
17,111,13400,13700,1,4,0,0,0,0,20,5,1,0,4387609.79,4513231,0,2
17,42,13400,13700,1,4,0,0,0,1,0,0,0,0,4387609.79,4513231,0,2
17,76,13400,13700,1,3,0,0,0,0,3,2,0,0,4387609.79,4513231,0,2
17,10,13700,14000,1,8,0,0,0,1,0,0,0,4,4618877.50,4820198,0,5
17,41,13700,14000,1,1,0,0,0,0,0,0,0,1,4618877.50,4820198,0,5
17,76,13700,14000,0,5,0,0,0,0,4,5,0,0,4618877.50,4820198,0,5
17,42,13700,14000,1,2,0,0,0,0,2,1,1,0,4618877.50,4820198,0,5
17,39,13700,14000,1,20,1,1,0,0,17,16,1,0,4618877.50,4820198,0,5
17,97,14000,14300,1,2,0,0,0,0,2,1,1,0,4598631.99,4820198,1,19
17,45,14000,14300,1,2,0,0,0,0,0,0,0,1,4598631.99,4820198,1,19
17,107,14000,14300,1,13,0,0,0,0,0,0,0,10,4598631.99,4820198,1,19
17,106,14000,14300,1,9,0,0,0,0,0,0,0,7,4598631.99,4820198,1,19
17,96,14000,14300,1,2,0,0,0,0,4,1,1,0,4598631.99,4820198,1,19
17,39,14000,14300,1,4,0,0,0,0,8,3,1,0,4598631.99,4820198,1,19
17,60,14300,14600,2,4,1,0,1,0,2,1,1,0,4748818.70,4856410,0,2
17,67,14600,14900,1,10,0,0,0,1,2,2,0,3,4746625.37,4856410,0,5
17,101,15200,15500,1,2,1,0,1,0,1,1,0,0,4599044.48,4686593,0,1
17,100,15200,15500,1,2,0,0,0,0,2,1,1,0,4599044.48,4686593,0,1
17,9,15200,15500,1,9,1,0,1,0,3,3,0,1,4599044.48,4686593,0,1
17,41,15500,15800,1,1,0,0,0,0,2,1,1,0,4539419.00,4539419,0,0
17,42,15500,15800,1,4,0,0,0,0,3,2,1,0,4539419.00,4539419,0,0
17,100,15500,15800,1,2,0,0,0,0,2,1,1,1,4539419.00,4539419,0,0
17,80,15500,15800,1,10,1,1,0,0,5,4,1,0,4539419.00,4539419,0,0
17,81,15800,16100,1,13,0,0,0,0,0,0,0,0,4689239.04,4905781,0,0
17,101,15800,16100,1,2,1,0,1,0,2,2,0,0,4689239.04,4905781,0,0
17,100,15800,16100,1,2,0,0,0,0,0,0,0,0,4689239.04,4905781,0,0
17,99,15800,16100,1,3,0,0,0,0,2,1,1,0,4689239.04,4905781,0,0
17,14,15800,16100,1,75,2,2,0,0,10,10,0,1,4689239.04,4905781,0,0
17,59,16100,16400,1,1,0,0,0,0,0,0,0,1,4445395.53,4905781,4,17
17,20,16100,16400,1,14,0,0,0,0,0,0,0,6,4445395.53,4905781,4,17
17,5,16100,16400,1,13,0,0,0,0,0,0,0,12,4445395.53,4905781,4,17
17,101,16100,16400,1,12,0,0,0,0,0,0,0,0,4445395.53,4905781,4,17
17,15,16100,16400,1,13,0,0,0,0,2,2,0,0,4445395.53,4905781,4,17
17,79,16100,16400,1,13,0,0,0,2,1,1,0,5,4445395.53,4905781,4,17
17,117,16100,16400,1,1,0,0,0,0,2,1,1,0,4445395.53,4905781,4,17
17,83,16400,16700,1,10,0,0,0,0,0,0,0,9,4449400.19,4820206,0,8
17,53,16700,17000,1,2,0,0,0,0,2,1,1,0,4118757.61,4720729,0,14
17,118,16700,17000,1,14,0,0,0,0,11,11,0,0,4118757.61,4720729,0,14
17,71,16700,17000,1,13,0,0,0,1,18,6,0,3,4118757.61,4720729,0,14
17,12,16700,17000,1,10,0,0,0,1,0,0,0,5,4118757.61,4720729,0,14
17,39,17000,17300,1,3,0,0,0,0,3,2,1,0,4407061.00,4407061,0,0
17,3,17300,17600,1,10,0,0,0,1,0,0,0,5,4064465.49,4780315,2,9
17,50,17600,17900,1,4,1,0,1,0,3,3,0,0,3944757.00,3944757,0,0
17,63,17900,18200,1,3,0,0,0,0,2,1,1,1,4300447.00,4373190,0,0
17,37,17900,18200,1,6,1,1,0,0,2,1,1,0,4300447.00,4373190,0,0
17,44,17900,18200,1,10,1,1,0,0,16,7,1,0,4300447.00,4373190,0,0
17,63,18200,18500,1,3,1,0,1,0,2,2,0,0,4452806.92,4670008,0,5
17,95,18200,18500,1,9,0,0,0,0,0,0,0,6,4452806.92,4670008,0,5
17,2,18200,18500,1,10,2,1,1,0,8,4,0,0,4452806.92,4670008,0,5
17,46,18200,18500,1,2,0,0,0,0,2,1,1,0,4452806.92,4670008,0,5
17,36,18200,18500,1,4,1,0,1,0,5,3,0,0,4452806.92,4670008,0,5
17,113,18500,18800,1,2,0,0,0,0,0,0,0,2,4493233.44,4850627,1,3
17,53,18500,18800,1,2,0,0,0,0,3,1,1,0,4493233.44,4850627,1,3
17,55,18500,18800,1,5,0,0,0,0,0,0,0,5,4493233.44,4850627,1,3
17,39,18500,18800,1,5,0,0,0,0,5,4,1,0,4493233.44,4850627,1,3
17,61,18800,19100,1,3,0,0,0,0,0,0,0,1,4366893.44,4674411,1,4
17,109,18800,19100,1,7,0,0,0,0,0,0,0,4,4366893.44,4674411,1,4
17,113,18800,19100,1,2,0,0,0,0,0,0,0,1,4366893.44,4674411,1,4
17,36,18800,19100,1,2,0,0,0,0,4,1,1,0,4366893.44,4674411,1,4
17,114,18800,19100,1,2,0,0,0,0,0,0,0,1,4366893.44,4674411,1,4
17,97,19100,19400,1,2,0,0,0,0,3,1,1,0,4207726.80,4851841,1,20
17,41,19100,19400,1,2,0,0,0,0,3,2,1,0,4207726.80,4851841,1,20
17,109,19100,19400,0,3,0,0,0,0,0,0,0,2,4207726.80,4851841,1,20
17,53,19100,19400,1,3,0,0,0,0,0,0,0,0,4207726.80,4851841,1,20
17,36,19100,19400,1,3,0,0,0,0,5,0,0,4,4207726.80,4851841,1,20
17,42,19100,19400,1,2,0,0,0,0,0,0,0,2,4207726.80,4851841,1,20
17,64,19100,19400,1,8,0,0,0,0,0,0,0,9,4207726.80,4851841,1,20
17,89,19100,19400,1,10,0,0,0,1,0,0,0,5,4207726.80,4851841,1,20
17,34,19100,19400,1,2,0,0,0,0,0,0,0,2,4207726.80,4851841,1,20
17,58,19100,19400,1,3,0,0,0,0,0,0,0,2,4207726.80,4851841,1,20
17,94,19400,19700,1,10,0,0,0,1,0,0,0,6,4504677.30,4795565,0,16
17,44,19400,19700,1,18,0,0,0,0,149,12,0,4,4504677.30,4795565,0,16
17,97,19700,20000,1,1,0,0,0,0,4,2,0,0,4459705.00,4459705,0,0
17,37,19700,20000,1,1,0,0,0,0,1,0,0,0,4459705.00,4459705,0,0
17,110,20300,20600,1,2,1,0,1,0,0,0,0,0,4325380.00,4325380,0,0
17,50,20300,20600,1,3,0,0,0,0,12,3,1,0,4325380.00,4325380,0,0
17,78,20300,20600,1,16,0,0,0,0,16,16,0,0,4325380.00,4325380,0,0
17,77,20600,20900,1,16,0,0,0,0,14,14,0,0,4224380.74,4325380,0,1
17,12,20600,20900,1,15,0,0,0,0,15,15,0,0,4224380.74,4325380,0,1
17,53,20900,21200,2,3,1,0,1,0,7,1,1,0,4218960.11,4864620,0,12
17,114,20900,21200,1,5,1,1,0,0,3,2,1,0,4218960.11,4864620,0,12
17,38,20900,21200,1,2,0,0,0,0,1,1,0,0,4218960.11,4864620,0,12
17,11,20900,21200,1,11,0,0,0,1,0,0,0,6,4218960.11,4864620,0,12
17,116,21800,22100,1,4,1,0,1,0,1,0,0,0,4437975.00,4437975,0,0
17,33,21800,22100,1,3,1,0,1,0,2,2,0,0,4437975.00,4437975,0,0
17,32,22100,22400,1,2,0,0,0,0,4,1,1,0,4437975.00,4437975,0,0
17,96,22100,22400,1,2,1,0,1,0,0,0,0,0,4437975.00,4437975,0,0
