observer,neighbor,window_start,window_end,contacts,contact_time,tx_offer_M,tx_ok_M,tx_abort_M,rx_M,tx_offer_F,tx_ok_F,tx_abort_F,rx_F,buf_bytes_avg,buf_bytes_max,drop_buf_M,drop_buf_F
77,32,-100,200,1,4,0,0,0,0,0,0,0,0,0.00,0,0,0
77,125,-100,200,1,9,0,0,0,0,0,0,0,0,0.00,0,0,0
77,40,-100,200,1,4,0,0,0,0,0,0,0,0,0.00,0,0,0
77,48,-100,200,1,3,0,0,0,0,0,0,0,0,0.00,0,0,0
77,44,-100,200,1,3,0,0,0,0,0,0,0,0,0.00,0,0,0
77,52,200,500,1,2,0,0,0,0,0,0,0,0,91673.76,686712,0,0
77,123,200,500,1,17,0,0,0,0,0,0,0,2,91673.76,686712,0,0
77,60,200,500,1,5,0,0,0,0,0,0,0,0,91673.76,686712,0,0
77,18,200,500,1,14,0,0,0,0,0,0,0,0,91673.76,686712,0,0
77,48,200,500,1,3,0,0,0,0,0,0,0,0,91673.76,686712,0,0
77,55,200,500,1,2,0,0,0,0,0,0,0,0,91673.76,686712,0,0
77,44,200,500,1,4,0,0,0,0,0,0,0,0,91673.76,686712,0,0
77,109,800,1100,1,9,0,0,0,0,1,1,0,2,758301.34,1120706,0,0
77,10,1100,1400,1,9,0,0,0,0,1,1,0,0,1551589.21,2475218,0,0
77,7,1100,1400,1,8,0,0,0,0,4,3,1,0,1551589.21,2475218,0,0
77,115,1100,1400,2,5,0,0,0,0,2,1,1,1,1551589.21,2475218,0,0
77,43,1100,1400,1,2,0,0,0,0,1,1,0,2,1551589.21,2475218,0,0
77,56,1100,1400,1,5,0,0,0,0,0,0,0,3,1551589.21,2475218,0,0
77,15,1100,1400,1,10,0,0,0,0,4,3,1,0,1551589.21,2475218,0,0
77,117,1100,1400,1,2,0,0,0,0,0,0,0,0,1551589.21,2475218,0,0
77,123,1400,1700,1,46,0,0,0,0,3,3,0,16,3417423.06,4972980,0,5
77,36,1400,1700,1,1,0,0,0,0,1,0,1,0,3417423.06,4972980,0,5
77,33,1400,1700,1,2,0,0,0,0,1,1,0,0,3417423.06,4972980,0,5
77,47,1400,1700,1,4,0,0,0,0,1,0,1,4,3417423.06,4972980,0,5
77,101,1700,2000,1,2,1,0,1,0,2,2,0,0,4844933.71,4938830,0,4
77,11,1700,2000,1,9,0,0,0,1,0,0,0,1,4844933.71,4938830,0,4
77,100,1700,2000,1,2,0,0,0,0,3,2,1,0,4844933.71,4938830,0,4
77,98,1700,2000,1,2,1,0,1,0,4,1,0,0,4844933.71,4938830,0,4
77,99,1700,2000,1,2,0,0,0,0,3,2,1,0,4844933.71,4938830,0,4
77,101,2300,2600,2,5,2,0,2,0,0,0,0,0,4848530.00,4848530,0,0
77,100,2300,2600,1,2,1,0,1,0,1,1,0,0,4848530.00,4848530,0,0
77,100,2600,2900,1,2,1,1,0,0,0,0,0,0,4848530.00,4848530,0,0
