observer,neighbor,window_start,window_end,contacts,contact_time,tx_offer_M,tx_ok_M,tx_abort_M,rx_M,tx_offer_F,tx_ok_F,tx_abort_F,rx_F,buf_bytes_avg,buf_bytes_max,drop_buf_M,drop_buf_F
85,112,-100,200,1,2,0,0,0,0,0,0,0,0,0.00,0,0,0
85,70,-100,200,1,12,0,0,0,0,0,0,0,0,0.00,0,0,0
85,37,200,500,1,2,0,0,0,0,0,0,0,0,0.00,0,0,0
85,37,500,800,1,3,0,0,0,0,0,0,0,0,0.00,0,0,0
85,63,800,1100,1,2,0,0,0,0,0,0,0,0,0.00,0,0,0
85,41,800,1100,1,4,0,0,0,0,0,0,0,0,0.00,0,0,0
85,22,800,1100,1,14,0,0,0,0,0,0,0,0,0.00,0,0,0
85,110,1100,1400,1,3,0,0,0,0,0,0,0,2,843941.81,1824827,0,0
85,41,1100,1400,1,4,0,0,0,0,40,1,0,0,843941.81,1824827,0,0
85,76,1100,1400,1,17,0,0,0,0,0,0,0,2,843941.81,1824827,0,0
85,40,1100,1400,1,4,0,0,0,0,0,0,0,0,843941.81,1824827,0,0
85,50,1100,1400,1,3,0,0,0,0,0,0,0,0,843941.81,1824827,0,0
85,44,1100,1400,1,2,0,0,0,0,0,0,0,2,843941.81,1824827,0,0
85,34,1100,1400,1,2,0,0,0,0,4,1,1,0,843941.81,1824827,0,0
85,16,1400,1700,1,9,0,0,0,1,5,0,0,3,2197746.34,3804265,0,0
85,58,1400,1700,1,1,0,0,0,0,1,1,0,0,2197746.34,3804265,0,0
85,59,1700,2000,1,4,0,0,0,0,4,3,1,0,4208507.40,4496528,0,2
85,49,1700,2000,1,5,0,0,0,1,0,0,0,1,4208507.40,4496528,0,2
85,60,1700,2000,1,2,0,0,0,0,1,1,0,2,4208507.40,4496528,0,2
85,42,1700,2000,1,7,0,0,0,0,3,3,0,1,4208507.40,4496528,0,2
85,32,2000,2300,1,4,0,0,0,0,4,3,1,0,4496528.00,4496528,0,0
85,59,2300,2600,1,2,0,0,0,0,3,2,1,0,4496528.00,4496528,0,0
85,78,2300,2600,1,10,1,1,0,0,7,6,1,0,4496528.00,4496528,0,0
85,58,2300,2600,1,1,0,0,0,0,3,2,1,0,4496528.00,4496528,0,0
85,6,2900,3200,1,8,1,1,0,0,4,4,0,0,4387456.34,4845557,2,12
85,1,2900,3200,1,11,0,0,0,0,0,0,0,7,4387456.34,4845557,2,12
85,113,2900,3200,1,2,0,0,0,0,2,1,1,0,4387456.34,4845557,2,12
85,15,2900,3200,1,8,1,1,0,0,4,4,0,0,4387456.34,4845557,2,12
85,23,2900,3200,1,9,0,0,0,1,0,0,0,5,4387456.34,4845557,2,12
85,115,3200,3500,1,1,0,0,0,0,2,1,1,0,4361770.17,4690324,0,4
85,105,3200,3500,1,8,1,0,1,0,4,4,0,0,4361770.17,4690324,0,4
85,43,3200,3500,1,1,0,0,0,0,1,1,0,0,4361770.17,4690324,0,4
85,38,3200,3500,1,4,0,0,0,0,0,0,0,1,4361770.17,4690324,0,4
85,33,3200,3500,1,2,0,0,0,0,2,2,0,0,4361770.17,4690324,0,4
85,80,3200,3500,1,12,1,1,0,0,5,4,1,0,4361770.17,4690324,0,4
85,120,3200,3500,1,8,0,0,0,0,0,0,0,6,4361770.17,4690324,0,4
85,21,3500,3800,1,11,1,1,0,0,9,8,1,1,4663068.54,4844495,0,5
85,99,3500,3800,1,3,0,0,0,0,2,1,1,1,4663068.54,4844495,0,5
85,98,3500,3800,1,2,0,0,0,0,4,3,1,0,4663068.54,4844495,0,5
85,44,3500,3800,1,2,0,0,0,0,2,1,1,0,4663068.54,4844495,0,5
85,34,3500,3800,1,5,0,0,0,0,7,0,0,6,4663068.54,4844495,0,5
85,99,3800,4100,1,2,0,0,0,0,4,3,1,0,4724210.92,4874394,1,1
85,34,3800,4100,1,4,0,0,0,0,8,2,1,1,4724210.92,4874394,1,1
