observer,neighbor,window_start,window_end,contacts,contact_time,tx_offer_M,tx_ok_M,tx_abort_M,rx_M,tx_offer_F,tx_ok_F,tx_abort_F,rx_F,buf_bytes_avg,buf_bytes_max,drop_buf_M,drop_buf_F
76,115,500,800,1,3,0,0,0,0,0,0,0,0,0.00,0,0,0
76,37,500,800,1,2,0,0,0,0,0,0,0,0,0.00,0,0,0
76,107,800,1100,1,11,0,0,0,0,0,0,0,2,561298.68,605672,0,0
76,58,800,1100,1,2,0,0,0,0,2,1,1,0,561298.68,605672,0,0
76,116,1100,1400,1,2,0,0,0,0,0,0,0,0,605672.00,605672,0,0
76,41,1100,1400,1,3,0,0,0,0,2,2,0,0,605672.00,605672,0,0
76,85,1100,1400,1,17,0,0,0,0,2,2,0,0,605672.00,605672,0,0
76,40,1100,1400,1,3,0,0,0,0,2,2,0,0,605672.00,605672,0,0
76,110,1400,1700,1,2,0,0,0,0,0,0,0,3,1038478.07,1107825,0,0
76,34,1400,1700,2,5,0,0,0,0,24,4,0,0,1038478.07,1107825,0,0
76,60,1700,2000,2,4,1,0,1,0,2,1,1,0,1436602.53,2003507,0,0
76,50,1700,2000,1,5,0,0,0,0,1,1,0,0,1436602.53,2003507,0,0
76,48,2300,2600,2,4,2,0,2,0,2,2,0,0,2003507.00,2003507,0,0
76,2,2900,3200,1,13,0,0,0,1,0,0,0,4,2484817.67,3788208,0,0
76,37,2900,3200,1,3,1,0,1,0,3,3,0,0,2484817.67,3788208,0,0
76,54,3200,3500,2,5,1,0,1,0,4,3,1,0,3788208.00,3788208,0,0
76,37,3200,3500,1,4,1,0,1,0,2,2,0,0,3788208.00,3788208,0,0
76,117,3200,3500,1,4,0,0,0,0,5,4,1,0,3788208.00,3788208,0,0
76,31,3500,3800,1,9,0,0,0,1,1,1,0,5,3613110.90,4836469,1,5
76,117,3500,3800,1,5,1,0,1,0,3,3,0,0,3613110.90,4836469,1,5
76,32,3800,4100,2,7,2,1,1,0,4,4,0,0,3215076.00,3215076,0,0
76,58,3800,4100,1,2,0,0,0,0,2,1,1,0,3215076.00,3215076,0,0
76,49,4100,4400,1,2,0,0,0,0,0,0,0,1,3500992.56,4593529,1,3
76,91,4100,4400,1,11,0,0,0,2,0,0,0,4,3500992.56,4593529,1,3
76,48,4100,4400,2,3,1,0,1,0,4,1,1,0,3500992.56,4593529,1,3
76,58,4100,4400,1,3,1,0,1,0,3,3,0,0,3500992.56,4593529,1,3
