observer,neighbor,window_start,window_end,contacts,contact_time,tx_offer_M,tx_ok_M,tx_abort_M,rx_M,tx_offer_F,tx_ok_F,tx_abort_F,rx_F,buf_bytes_avg,buf_bytes_max,drop_buf_M,drop_buf_F
92,107,200,500,1,4,0,0,0,0,0,0,0,0,0.00,0,0,0
92,112,200,500,1,2,0,0,0,0,0,0,0,1,0.00,0,0,0
92,12,200,500,1,27,0,0,0,0,0,0,0,0,0.00,0,0,0
92,71,200,500,1,9,0,0,0,0,0,0,0,0,0.00,0,0,0
92,107,500,800,0,4,0,0,0,0,0,0,0,0,0.00,0,0,0
92,47,500,800,1,7,0,0,0,0,0,0,0,0,0.00,0,0,0
92,48,500,800,1,3,0,0,0,0,0,0,0,0,0.00,0,0,0
92,22,500,800,1,9,0,0,0,0,0,0,0,0,0.00,0,0,0
92,86,1100,1400,1,27,0,0,0,0,0,0,0,2,1030022.18,1795663,0,0
92,45,1100,1400,1,2,0,0,0,0,0,0,0,0,1030022.18,1795663,0,0
92,112,1100,1400,1,2,0,0,0,0,0,0,0,0,1030022.18,1795663,0,0
92,87,1100,1400,1,9,0,0,0,0,0,0,0,3,1030022.18,1795663,0,0
92,64,1100,1400,1,25,0,0,0,0,0,0,0,1,1030022.18,1795663,0,0
92,75,1700,2000,1,25,0,0,0,0,2,2,0,0,1795663.00,1795663,0,0
92,94,1700,2000,1,23,0,0,0,0,4,4,0,0,1795663.00,1795663,0,0
92,110,2000,2300,1,1,0,0,0,0,2,1,1,0,1795663.00,1795663,0,0
92,113,2000,2300,1,3,0,0,0,0,3,2,1,0,1795663.00,1795663,0,0
92,58,2300,2600,1,1,0,0,0,0,2,1,1,0,1795663.00,1795663,0,0
92,109,2900,3200,1,9,0,0,0,0,1,1,0,3,2268009.53,2908127,0,0
92,48,2900,3200,2,18,0,0,0,0,10,9,1,0,2268009.53,2908127,0,0
92,60,3200,3500,1,2,0,0,0,0,2,1,1,0,3171121.47,3575899,0,0
92,114,3200,3500,1,2,0,0,0,0,2,1,1,0,3171121.47,3575899,0,0
92,62,3500,3800,1,3,0,0,0,0,3,2,1,0,3575899.00,3575899,0,0
92,53,3500,3800,1,4,1,0,1,0,2,2,0,0,3575899.00,3575899,0,0
92,35,3500,3800,1,2,0,0,0,0,1,1,0,0,3575899.00,3575899,0,0
