observer,neighbor,window_start,window_end,contacts,contact_time,tx_offer_M,tx_ok_M,tx_abort_M,rx_M,tx_offer_F,tx_ok_F,tx_abort_F,rx_F,buf_bytes_avg,buf_bytes_max,drop_buf_M,drop_buf_F
107,104,-100,200,1,8,0,0,0,0,0,0,0,0,491723.60,1722188,0,0
107,74,200,500,1,10,0,0,0,0,193,2,0,0,2794066.38,4074427,0,0
107,61,200,500,1,4,0,0,0,0,0,0,0,0,2794066.38,4074427,0,0
107,86,200,500,1,11,0,0,0,0,0,0,0,0,2794066.38,4074427,0,0
107,92,200,500,1,4,0,0,0,0,0,0,0,0,2794066.38,4074427,0,0
107,37,200,500,1,2,0,0,0,0,1,1,0,0,2794066.38,4074427,0,0
107,122,200,500,1,9,0,0,0,0,0,0,0,0,2794066.38,4074427,0,0
107,92,500,800,0,4,0,0,0,0,0,0,0,0,4666141.48,4943574,0,13
107,37,500,800,1,3,0,0,0,0,0,0,0,0,4666141.48,4943574,0,13
107,60,800,1100,1,2,0,0,0,0,2,1,1,0,4812325.42,4995901,0,10
107,76,800,1100,1,11,0,0,0,0,2,2,0,0,4812325.42,4995901,0,10
107,58,800,1100,1,1,0,0,0,0,0,0,0,0,4812325.42,4995901,0,10
107,40,1100,1400,1,4,0,0,0,0,7,3,1,0,4809406.00,4993089,0,13
107,82,1400,1700,1,9,0,0,0,0,8,7,1,1,4840418.42,4974698,0,9
107,63,1700,2000,1,2,0,0,0,0,2,2,0,0,4888509.26,4989117,0,18
107,45,1700,2000,1,3,0,0,0,0,3,2,1,0,4888509.26,4989117,0,18
107,54,1700,2000,1,2,0,0,0,0,2,1,1,0,4888509.26,4989117,0,18
107,63,2000,2300,1,2,0,0,0,0,2,1,1,0,4823014.25,4997099,0,17
107,46,2000,2300,1,4,0,0,0,0,3,2,1,0,4823014.25,4997099,0,17
107,112,2000,2300,1,2,0,0,0,0,2,1,1,0,4823014.25,4997099,0,17
107,63,2300,2600,1,3,0,0,0,0,3,2,1,0,4824827.90,4985921,0,13
107,43,2300,2600,1,2,0,0,0,0,2,1,1,0,4824827.90,4985921,0,13
107,110,2300,2600,1,3,0,0,0,0,3,1,1,0,4824827.90,4985921,0,13
107,59,2600,2900,1,1,0,0,0,0,2,1,1,0,4856079.92,4997308,0,29
107,8,2600,2900,1,14,0,0,0,0,12,11,1,0,4856079.92,4997308,0,29
107,73,2600,2900,1,14,0,0,0,0,1,1,0,8,4856079.92,4997308,0,29
107,36,2600,2900,1,5,0,0,0,0,5,2,1,0,4856079.92,4997308,0,29
107,48,2600,2900,2,23,0,0,0,0,18,16,2,0,4856079.92,4997308,0,29
107,14,2600,2900,1,12,0,0,0,0,7,7,0,2,4856079.92,4997308,0,29
107,56,2900,3200,1,6,0,0,0,0,6,5,1,0,4755936.51,4997308,0,14
107,36,2900,3200,1,2,0,0,0,0,2,1,1,0,4755936.51,4997308,0,14
107,113,2900,3200,1,2,0,0,0,0,2,1,1,0,4755936.51,4997308,0,14
107,48,2900,3200,1,3,0,0,0,0,5,4,1,0,4755936.51,4997308,0,14
107,45,3200,3500,1,5,0,0,0,0,1,1,0,0,4803204.34,4986860,0,13
107,60,3200,3500,1,2,0,0,0,0,2,1,1,0,4803204.34,4986860,0,13
107,112,3200,3500,1,6,0,0,0,0,5,4,1,0,4803204.34,4986860,0,13
107,34,3200,3500,1,4,0,0,0,0,3,2,1,2,4803204.34,4986860,0,13
107,88,3500,3800,1,34,0,0,0,2,0,0,0,9,4743111.43,4994783,0,29
107,96,3500,3800,1,2,0,0,0,0,0,0,0,0,4743111.43,4994783,0,29
107,48,3500,3800,1,2,0,0,0,0,7,2,1,0,4743111.43,4994783,0,29
107,39,3500,3800,1,1,0,0,0,0,3,1,1,0,4743111.43,4994783,0,29
107,45,3800,4100,1,2,0,0,0,0,3,2,1,0,4737460.54,4971675,1,10
107,88,3800,4100,0,7,0,0,0,0,0,0,0,0,4737460.54,4971675,1,10
107,33,3800,4100,1,1,0,0,0,0,0,0,0,2,4737460.54,4971675,1,10
107,39,3800,4100,1,2,0,0,0,0,2,1,1,0,4737460.54,4971675,1,10
107,117,3800,4100,1,3,0,0,0,0,0,0,0,2,4737460.54,4971675,1,10
107,39,4100,4400,1,2,0,0,0,0,1,1,0,0,4876319.20,4997229,0,24
107,46,4700,5000,2,5,0,0,0,0,6,4,2,0,4854004.01,4969061,0,26
107,23,4700,5000,1,9,0,0,0,2,0,0,0,3,4854004.01,4969061,0,26
107,110,5000,5300,1,2,0,0,0,0,2,1,1,0,4725765.21,4931575,2,12
