observer,neighbor,window_start,window_end,contacts,contact_time,tx_offer_M,tx_ok_M,tx_abort_M,rx_M,tx_offer_F,tx_ok_F,tx_abort_F,rx_F,buf_bytes_avg,buf_bytes_max,drop_buf_M,drop_buf_F
82,116,-100,200,1,2,0,0,0,0,0,0,0,0,0.00,0,0,0
82,124,-100,200,1,8,0,0,0,0,0,0,0,0,0.00,0,0,0
82,91,-100,200,1,8,0,0,0,0,0,0,0,0,0.00,0,0,0
82,103,-100,200,1,6,0,0,0,0,0,0,0,0,0.00,0,0,0
82,117,200,500,1,2,0,0,0,0,0,0,0,2,62915.47,117722,0,0
82,32,500,800,1,2,0,0,0,0,1,1,0,0,117722.00,117722,0,0
82,58,500,800,1,2,0,0,0,0,1,1,0,0,117722.00,117722,0,0
82,116,800,1100,1,3,0,0,0,0,1,1,0,1,332407.11,352246,0,0
82,37,800,1100,1,1,0,0,0,0,1,1,0,0,332407.11,352246,0,0
82,47,800,1100,1,4,0,0,0,0,2,2,0,0,332407.11,352246,0,0
82,40,1100,1400,1,0,0,0,0,0,1,0,1,0,352246.00,352246,0,0
82,107,1400,1700,1,9,0,0,0,0,1,1,0,7,1976922.85,2095016,0,0
82,45,1700,2000,1,1,0,0,0,0,2,1,1,0,2095016.00,2095016,0,0
82,115,2000,2300,1,2,0,0,0,0,3,2,1,0,2095016.00,2095016,0,0
82,57,2000,2300,1,3,0,0,0,0,4,3,1,0,2095016.00,2095016,0,0
82,41,2000,2300,1,2,0,0,0,0,3,2,1,0,2095016.00,2095016,0,0
82,53,2000,2300,1,2,0,0,0,0,2,1,1,0,2095016.00,2095016,0,0
82,114,2300,2600,1,4,0,0,0,0,4,3,1,0,2095016.00,2095016,0,0
82,37,2300,2600,1,2,0,0,0,0,2,1,1,0,2095016.00,2095016,0,0
82,59,2600,2900,1,1,0,0,0,0,1,1,0,0,2184537.34,2234220,0,0
82,8,2600,2900,1,15,0,0,0,0,8,8,0,1,2184537.34,2234220,0,0
82,73,2600,2900,1,15,0,0,0,0,8,8,0,0,2184537.34,2234220,0,0
82,36,2600,2900,1,5,0,0,0,0,4,3,1,0,2184537.34,2234220,0,0
82,14,2600,2900,1,13,0,0,0,0,8,8,0,0,2184537.34,2234220,0,0
82,20,2900,3200,1,15,0,0,0,0,0,0,0,1,3250896.10,4884059,0,9
82,101,2900,3200,1,2,0,0,0,0,0,0,0,1,3250896.10,4884059,0,9
82,100,2900,3200,1,2,0,0,0,0,0,0,0,2,3250896.10,4884059,0,9
82,99,2900,3200,1,2,0,0,0,0,3,2,1,0,3250896.10,4884059,0,9
82,98,2900,3200,1,3,0,0,0,0,0,0,0,0,3250896.10,4884059,0,9
82,68,2900,3200,1,13,0,0,0,0,0,0,0,4,3250896.10,4884059,0,9
82,13,2900,3200,1,11,0,0,0,0,1,1,0,9,3250896.10,4884059,0,9
82,60,3200,3500,1,2,0,0,0,0,3,2,1,0,4651129.00,4651129,0,0
82,101,3500,3800,2,5,1,0,1,0,5,4,1,0,4647808.62,4772058,0,12
82,100,3500,3800,1,3,0,0,0,0,3,2,1,0,4647808.62,4772058,0,12
82,64,3500,3800,1,14,0,0,0,2,0,0,0,6,4647808.62,4772058,0,12
82,100,3800,4100,1,2,0,0,0,0,2,2,0,0,4710492.00,4710492,0,0
82,59,4100,4400,1,3,1,0,1,0,1,1,0,0,4710492.00,4710492,0,0
82,101,4400,4700,2,5,2,0,2,0,1,1,0,0,4454319.34,4710492,1,9
82,100,4400,4700,2,5,0,0,0,0,0,0,0,0,4454319.34,4710492,1,9
82,48,4400,4700,1,2,0,0,0,0,3,2,1,0,4454319.34,4710492,1,9
82,55,4400,4700,1,2,0,0,0,0,0,0,0,1,4454319.34,4710492,1,9
82,58,4400,4700,1,3,1,0,1,0,0,0,0,0,4454319.34,4710492,1,9
82,70,4400,4700,1,9,0,0,0,1,0,0,0,6,4454319.34,4710492,1,9
82,48,4700,5000,1,4,1,1,0,0,5,1,1,0,3942740.68,4828873,1,8
82,25,4700,5000,1,15,0,0,0,0,0,0,0,11,3942740.68,4828873,1,8
82,117,4700,5000,1,2,1,0,1,0,0,0,0,0,3942740.68,4828873,1,8
82,38,5000,5300,1,4,0,0,0,0,3,2,1,0,4828873.00,4828873,0,0
82,117,5000,5300,1,3,1,1,0,0,1,0,1,0,4828873.00,4828873,0,0
82,1,5300,5600,1,12,0,0,0,1,0,0,0,6,4664696.39,4828873,1,7
82,45,5300,5600,1,2,0,0,0,0,0,0,0,1,4664696.39,4828873,1,7
82,49,5300,5600,1,3,0,0,0,0,2,1,1,0,4664696.39,4828873,1,7
82,61,5600,5900,1,3,0,0,0,0,3,2,1,0,4500137.00,4500137,0,0
82,32,5900,6200,1,4,0,0,0,0,3,2,1,0,4164879.03,4515312,1,12
82,5,5900,6200,1,8,0,0,0,1,0,0,0,3,4164879.03,4515312,1,12
82,12,5900,6200,1,9,0,0,0,2,0,0,0,1,4164879.03,4515312,1,12
82,97,6200,6500,1,2,0,0,0,0,0,0,0,0,4228740.00,4228740,0,0
82,96,6200,6500,1,15,3,3,0,0,2,2,0,1,4228740.00,4228740,0,0
82,7,6500,6800,1,11,2,2,0,0,4,3,1,0,4233475.95,4579377,2,1
82,114,6500,6800,1,3,1,0,1,0,1,1,0,0,4233475.95,4579377,2,1
82,111,6500,6800,1,3,1,1,0,0,1,0,1,0,4233475.95,4579377,2,1
82,17,6500,6800,1,8,0,0,0,0,0,0,0,6,4233475.95,4579377,2,1
82,46,6800,7100,1,1,0,0,0,0,1,0,1,0,4249457.00,4249457,0,0
82,113,6800,7100,1,1,0,0,0,0,2,0,0,1,4249457.00,4249457,0,0
82,41,7400,7700,1,2,0,0,0,0,2,1,1,0,4249457.00,4249457,0,0
82,97,7700,8000,1,1,0,0,0,0,1,1,0,0,4249457.00,4249457,0,0
82,54,7700,8000,1,4,1,1,0,0,1,0,1,0,4249457.00,4249457,0,0
82,99,7700,8000,1,2,0,0,0,0,2,1,1,0,4249457.00,4249457,0,0
82,35,7700,8000,1,2,0,0,0,0,0,0,0,1,4249457.00,4249457,0,0
82,57,8000,8300,1,2,0,0,0,0,2,1,1,0,4249457.00,4249457,0,0
82,44,8000,8300,1,2,0,0,0,0,2,1,1,0,4249457.00,4249457,0,0
82,57,8300,8600,1,3,1,0,1,0,0,0,0,0,4232647.52,4857163,1,4
82,60,8300,8600,1,3,0,0,0,0,2,1,1,0,4232647.52,4857163,1,4
82,98,8300,8600,1,2,0,0,0,0,1,0,1,1,4232647.52,4857163,1,4
82,99,8300,8600,1,3,0,0,0,0,2,1,1,0,4232647.52,4857163,1,4
82,23,8300,8600,1,11,0,0,0,0,0,0,0,8,4232647.52,4857163,1,4
82,116,8600,8900,1,3,0,0,0,0,3,1,1,0,4159695.09,4445567,0,2
82,113,8600,8900,1,5,0,0,0,0,12,3,1,0,4159695.09,4445567,0,2
82,42,8600,8900,1,4,0,0,0,0,3,2,1,0,4159695.09,4445567,0,2
82,98,8600,8900,1,3,0,0,0,0,4,0,0,1,4159695.09,4445567,0,2
82,99,8600,8900,1,2,0,0,0,0,0,0,0,2,4159695.09,4445567,0,2
82,119,8600,8900,1,10,0,0,0,0,7,7,0,0,4159695.09,4445567,0,2
