observer,neighbor,window_start,window_end,contacts,contact_time,tx_offer_M,tx_ok_M,tx_abort_M,rx_M,tx_offer_F,tx_ok_F,tx_abort_F,rx_F,buf_bytes_avg,buf_bytes_max,drop_buf_M,drop_buf_F
35,84,-100,200,1,2,0,0,0,0,0,0,0,0,0.00,0,0,0
35,119,200,500,1,5,0,0,0,0,0,0,0,0,0.00,0,0,0
35,61,500,800,1,3,1,1,0,0,0,0,0,0,470165.35,580040,0,0
35,45,500,800,1,3,0,0,0,0,0,0,0,0,470165.35,580040,0,0
35,3,800,1100,2,5,1,1,0,0,0,0,0,0,580040.00,580040,0,0
35,95,1100,1400,1,10,0,0,0,0,0,0,0,0,580040.00,580040,0,0
35,36,1100,1400,1,2,1,0,1,0,0,0,0,0,580040.00,580040,0,0
35,53,1100,1400,1,1,1,0,1,0,0,0,0,0,580040.00,580040,0,0
35,51,1100,1400,1,2,1,0,1,0,0,0,0,0,580040.00,580040,0,0
35,101,1400,1700,1,3,1,1,0,0,0,0,0,0,580040.00,580040,0,0
35,98,1400,1700,1,3,1,1,0,0,0,0,0,0,580040.00,580040,0,0
35,14,1400,1700,1,6,1,1,0,0,0,0,0,0,580040.00,580040,0,0
35,88,1700,2000,1,4,4,1,0,0,0,0,0,1,808871.61,1556803,0,0
35,8,2000,2300,1,4,1,0,1,0,1,1,0,1,1774291.16,1792522,0,0
35,41,2000,2300,1,1,1,0,1,0,1,1,0,0,1774291.16,1792522,0,0
35,53,2000,2300,1,1,1,0,1,0,0,0,0,0,1774291.16,1792522,0,0
35,38,2000,2300,1,2,1,0,1,0,1,1,0,0,1774291.16,1792522,0,0
35,23,2000,2300,1,6,2,2,0,0,0,0,0,0,1774291.16,1792522,0,0
35,115,2300,2600,1,1,0,0,0,0,1,0,1,0,2316054.95,2650976,0,0
35,95,2300,2600,1,2,0,0,0,0,0,0,0,1,2316054.95,2650976,0,0
35,21,2300,2600,1,3,0,0,0,0,1,1,0,2,2316054.95,2650976,0,0
35,124,2300,2600,1,1,0,0,0,0,0,0,0,0,2316054.95,2650976,0,0
35,102,2300,2600,1,2,0,0,0,0,2,2,0,0,2316054.95,2650976,0,0
35,47,2300,2600,1,1,0,0,0,0,2,1,1,0,2316054.95,2650976,0,0
35,86,2600,2900,1,2,0,0,0,0,0,0,0,1,2735612.22,3099074,0,0
35,3,2900,3200,1,1,0,0,0,0,0,0,0,0,3137757.50,3282779,0,0
35,69,2900,3200,1,2,0,0,0,0,0,0,0,0,3137757.50,3282779,0,0
35,119,2900,3200,1,1,0,0,0,0,0,0,0,1,3137757.50,3282779,0,0
35,39,2900,3200,1,1,0,0,0,0,2,1,1,0,3137757.50,3282779,0,0
35,119,3200,3500,1,4,0,0,0,0,0,0,0,4,4081697.09,4532361,1,0
35,69,3200,3500,1,4,0,0,0,0,6,1,0,2,4081697.09,4532361,1,0
35,39,3200,3500,1,2,0,0,0,0,0,0,0,1,4081697.09,4532361,1,0
35,97,3500,3800,1,2,0,0,0,0,2,1,1,0,4526972.35,4773657,1,3
35,115,3500,3800,1,2,0,0,0,0,3,2,1,0,4526972.35,4773657,1,3
35,53,3500,3800,1,3,0,0,0,0,0,0,0,2,4526972.35,4773657,1,3
35,92,3500,3800,1,2,0,0,0,0,0,0,0,1,4526972.35,4773657,1,3
35,94,3500,3800,1,2,0,0,0,0,0,0,0,0,4526972.35,4773657,1,3
35,15,3500,3800,1,1,0,0,0,0,0,0,0,2,4526972.35,4773657,1,3
35,103,3500,3800,1,2,0,0,0,0,0,0,0,1,4526972.35,4773657,1,3
35,62,3800,4100,2,6,0,0,0,0,6,4,2,0,4762490.72,4824952,0,1
35,30,3800,4100,1,2,0,0,0,0,0,0,0,1,4762490.72,4824952,0,1
35,99,3800,4100,1,1,0,0,0,0,2,1,1,0,4762490.72,4824952,0,1
35,33,3800,4100,1,1,0,0,0,0,1,0,1,0,4762490.72,4824952,0,1
35,7,4100,4400,2,3,0,0,0,0,2,2,0,1,4612423.17,4847023,0,4
35,63,4100,4400,1,2,0,0,0,0,0,0,0,1,4612423.17,4847023,0,4
35,21,4100,4400,2,3,0,0,0,0,3,2,1,1,4612423.17,4847023,0,4
35,60,4100,4400,1,1,0,0,0,0,0,0,0,1,4612423.17,4847023,0,4
35,11,4100,4400,1,2,0,0,0,0,0,0,0,2,4612423.17,4847023,0,4
35,34,4100,4400,1,1,0,0,0,0,0,0,0,0,4612423.17,4847023,0,4
35,59,4400,4700,1,1,0,0,0,0,0,0,0,0,4290489.88,4847023,0,6
35,45,4400,4700,1,2,0,0,0,0,2,2,0,0,4290489.88,4847023,0,6
35,46,4400,4700,2,2,0,0,0,0,4,1,1,0,4290489.88,4847023,0,6
35,62,4400,4700,1,15,0,0,0,0,14,13,1,0,4290489.88,4847023,0,6
35,42,4400,4700,1,1,0,0,0,0,0,0,0,1,4290489.88,4847023,0,6
35,94,4400,4700,2,5,0,0,0,0,0,0,0,1,4290489.88,4847023,0,6
35,71,4400,4700,1,2,0,0,0,0,0,0,0,1,4290489.88,4847023,0,6
35,47,4400,4700,1,1,0,0,0,0,1,0,0,0,4290489.88,4847023,0,6
35,39,4400,4700,1,1,0,0,0,0,1,0,1,0,4290489.88,4847023,0,6
35,79,4400,4700,1,4,0,0,0,0,0,0,0,0,4290489.88,4847023,0,6
35,84,4700,5000,1,2,0,0,0,0,0,0,0,0,4339525.03,4674532,0,4
35,31,4700,5000,1,2,0,0,0,0,0,0,0,0,4339525.03,4674532,0,4
35,113,4700,5000,1,1,0,0,0,0,1,0,1,0,4339525.03,4674532,0,4
35,94,4700,5000,1,2,0,0,0,0,0,0,0,1,4339525.03,4674532,0,4
35,71,4700,5000,1,2,0,0,0,0,0,0,0,1,4339525.03,4674532,0,4
35,33,4700,5000,1,1,0,0,0,0,1,0,0,0,4339525.03,4674532,0,4
35,13,4700,5000,1,2,0,0,0,0,0,0,0,1,4339525.03,4674532,0,4
35,117,4700,5000,1,1,0,0,0,0,0,0,0,0,4339525.03,4674532,0,4
35,63,5000,5300,1,1,0,0,0,0,0,0,0,0,4068148.07,4141722,0,1
35,61,5000,5300,1,2,0,0,0,0,0,0,0,1,4068148.07,4141722,0,1
35,31,5000,5300,1,3,0,0,0,0,2,1,1,0,4068148.07,4141722,0,1
35,67,5000,5300,1,2,0,0,0,0,0,0,0,0,4068148.07,4141722,0,1
35,47,5000,5300,1,2,0,0,0,0,4,0,0,1,4068148.07,4141722,0,1
35,29,5300,5600,1,2,0,0,0,0,0,0,0,1,4459383.97,4634280,0,7
35,109,5300,5600,1,8,0,0,0,0,0,0,0,6,4459383.97,4634280,0,7
35,48,5300,5600,1,2,0,0,0,0,2,1,1,0,4459383.97,4634280,0,7
35,27,5600,5900,1,4,0,0,0,0,0,0,0,3,4540695.82,4704082,0,10
35,15,5600,5900,1,5,0,0,0,0,0,0,0,3,4540695.82,4704082,0,10
35,48,5600,5900,1,2,0,0,0,0,1,0,1,0,4540695.82,4704082,0,10
35,103,5600,5900,1,4,0,0,0,0,0,0,0,2,4540695.82,4704082,0,10
35,24,5900,6200,1,2,0,0,0,0,0,0,0,1,4585307.95,4759680,0,6
35,27,5900,6200,1,2,0,0,0,0,0,0,0,1,4585307.95,4759680,0,6
35,87,5900,6200,1,2,0,0,0,0,0,0,0,3,4585307.95,4759680,0,6
35,15,5900,6200,1,2,0,0,0,0,0,0,0,1,4585307.95,4759680,0,6
35,103,5900,6200,1,2,0,0,0,0,0,0,0,2,4585307.95,4759680,0,6
35,45,6200,6500,2,8,0,0,0,0,1,1,0,5,4625206.54,4848033,0,9
35,116,6200,6500,1,7,0,0,0,0,0,0,0,4,4625206.54,4848033,0,9
35,112,6200,6500,1,1,0,0,0,0,0,0,0,1,4625206.54,4848033,0,9
35,54,6200,6500,1,2,0,0,0,0,0,0,0,2,4625206.54,4848033,0,9
35,6,6500,6800,1,2,0,0,0,0,0,0,0,1,4503164.31,4727209,0,1
35,57,6500,6800,1,1,0,0,0,0,0,0,0,0,4503164.31,4727209,0,1
35,6,6800,7100,0,1,0,0,0,0,0,0,0,1,4268797.19,4501009,0,5
35,28,6800,7100,1,2,0,0,0,0,2,1,1,0,4268797.19,4501009,0,5
35,41,6800,7100,1,2,0,0,0,0,4,1,0,1,4268797.19,4501009,0,5
35,92,6800,7100,1,2,0,0,0,0,2,1,1,0,4268797.19,4501009,0,5
35,16,6800,7100,1,2,0,0,0,0,0,0,0,0,4268797.19,4501009,0,5
35,20,7100,7400,1,2,0,0,0,0,0,0,0,0,4334699.44,4637586,0,2
35,41,7100,7400,1,1,0,0,0,0,5,1,1,0,4334699.44,4637586,0,2
35,62,7100,7400,1,1,0,0,0,0,1,0,1,0,4334699.44,4637586,0,2
35,114,7100,7400,1,1,0,0,0,0,2,0,1,0,4334699.44,4637586,0,2
35,68,7100,7400,1,2,0,0,0,0,0,0,0,0,4334699.44,4637586,0,2
35,89,7100,7400,2,4,0,0,0,0,1,1,0,3,4334699.44,4637586,0,2
35,39,7100,7400,1,1,0,0,0,0,2,0,0,0,4334699.44,4637586,0,2
35,20,7400,7700,1,2,0,0,0,0,0,0,0,0,4000676.18,4470696,0,2
35,49,7400,7700,1,1,0,0,0,0,2,1,1,0,4000676.18,4470696,0,2
35,46,7400,7700,1,1,0,0,0,0,0,0,0,0,4000676.18,4470696,0,2
35,75,7400,7700,1,2,0,0,0,0,0,0,0,1,4000676.18,4470696,0,2
35,114,7400,7700,1,3,0,0,0,0,2,0,0,2,4000676.18,4470696,0,2
35,98,7400,7700,1,1,0,0,0,0,0,0,0,0,4000676.18,4470696,0,2
35,99,7400,7700,1,1,0,0,0,0,0,0,0,0,4000676.18,4470696,0,2
35,119,7400,7700,1,2,0,0,0,0,0,0,0,2,4000676.18,4470696,0,2
35,68,7400,7700,1,2,0,0,0,0,0,0,0,0,4000676.18,4470696,0,2
35,108,7400,7700,1,2,0,0,0,0,0,0,0,0,4000676.18,4470696,0,2
35,61,7700,8000,1,1,0,0,0,0,0,0,0,1,4542785.97,4705627,0,0
35,75,7700,8000,1,3,0,0,0,0,0,0,0,0,4542785.97,4705627,0,0
35,82,7700,8000,1,2,0,0,0,0,3,1,1,0,4542785.97,4705627,0,0
35,119,7700,8000,1,2,0,0,0,0,0,0,0,0,4542785.97,4705627,0,0
35,43,8000,8300,1,1,0,0,0,0,0,0,0,1,4218521.41,4809921,0,14
35,52,8000,8300,1,6,0,0,0,0,0,0,0,4,4218521.41,4809921,0,14
35,46,8000,8300,1,1,0,0,0,0,2,0,0,0,4218521.41,4809921,0,14
35,18,8000,8300,1,3,0,0,0,0,0,0,0,2,4218521.41,4809921,0,14
35,34,8000,8300,1,1,0,0,0,0,0,0,0,2,4218521.41,4809921,0,14
35,70,8000,8300,1,2,0,0,0,0,0,0,0,2,4218521.41,4809921,0,14
35,95,8300,8600,1,1,0,0,0,0,0,0,0,0,4033339.44,4247147,0,0
35,109,8300,8600,1,2,0,0,0,0,0,0,0,0,4033339.44,4247147,0,0
35,87,8300,8600,1,2,0,0,0,0,0,0,0,2,4033339.44,4247147,0,0
35,68,8300,8600,1,2,0,0,0,0,0,0,0,1,4033339.44,4247147,0,0
35,44,8300,8600,1,1,0,0,0,0,1,0,1,0,4033339.44,4247147,0,0
35,120,8300,8600,1,1,0,0,0,0,0,0,0,0,4033339.44,4247147,0,0
35,6,8600,8900,1,2,0,0,0,0,0,0,0,2,4374382.21,4790074,0,10
35,115,8600,8900,1,1,0,0,0,0,0,0,0,1,4374382.21,4790074,0,10
35,52,8600,8900,1,1,0,0,0,0,2,1,1,0,4374382.21,4790074,0,10
35,81,8600,8900,1,3,0,0,0,0,0,0,0,1,4374382.21,4790074,0,10
35,104,8600,8900,1,3,0,0,0,0,0,0,0,1,4374382.21,4790074,0,10
35,27,8600,8900,1,2,0,0,0,0,0,0,0,1,4374382.21,4790074,0,10
35,91,8600,8900,1,3,0,0,0,0,0,0,0,0,4374382.21,4790074,0,10
35,89,8600,8900,1,3,0,0,0,0,0,0,0,3,4374382.21,4790074,0,10
35,58,8600,8900,1,1,0,0,0,0,0,0,0,0,4374382.21,4790074,0,10
35,10,8900,9200,1,2,0,0,0,0,0,0,0,1,4516322.12,4796134,0,0
35,69,8900,9200,1,1,0,0,0,0,0,0,0,0,4516322.12,4796134,0,0
35,37,8900,9200,1,1,0,0,0,0,1,0,1,0,4516322.12,4796134,0,0
35,43,9200,9500,1,1,0,0,0,0,2,0,0,0,4518539.21,4847195,0,6
35,29,9200,9500,1,2,0,0,0,0,0,0,0,2,4518539.21,4847195,0,6
35,2,9200,9500,2,5,0,0,0,0,0,0,0,4,4518539.21,4847195,0,6
35,85,9200,9500,1,2,0,0,0,0,0,0,0,1,4518539.21,4847195,0,6
35,34,9200,9500,1,1,0,0,0,0,0,0,0,0,4518539.21,4847195,0,6
35,78,9200,9500,1,2,0,0,0,0,2,1,1,1,4518539.21,4847195,0,6
35,5,9500,9800,1,3,0,0,0,0,0,0,0,0,4699301.31,4827264,0,7
35,51,9500,9800,1,2,0,0,0,0,0,0,0,0,4699301.31,4827264,0,7
35,102,9500,9800,1,3,0,0,0,0,0,0,0,2,4699301.31,4827264,0,7
35,96,9500,9800,1,3,0,0,0,0,3,2,1,0,4699301.31,4827264,0,7
35,78,9500,9800,1,3,0,0,0,0,0,0,0,3,4699301.31,4827264,0,7
35,8,9800,10100,1,3,0,0,0,0,0,0,0,1,4450362.13,4758219,0,7
35,7,9800,10100,2,7,0,0,0,0,0,0,0,5,4450362.13,4758219,0,7
35,58,9800,10100,1,1,0,0,0,0,5,1,0,0,4450362.13,4758219,0,7
35,8,10100,10400,1,3,0,0,0,0,0,0,0,1,4423394.02,4842319,0,11
35,52,10100,10400,1,2,0,0,0,0,3,2,1,0,4423394.02,4842319,0,11
35,21,10100,10400,1,5,0,0,0,0,0,0,0,5,4423394.02,4842319,0,11
35,49,10100,10400,1,3,0,0,0,0,3,2,1,0,4423394.02,4842319,0,11
35,41,10100,10400,1,1,0,0,0,0,0,0,0,0,4423394.02,4842319,0,11
35,75,10100,10400,1,3,0,0,0,0,7,2,0,0,4423394.02,4842319,0,11
35,42,10100,10400,1,2,0,0,0,0,0,0,0,1,4423394.02,4842319,0,11
35,37,10100,10400,1,2,0,0,0,0,1,1,0,0,4423394.02,4842319,0,11
35,39,10100,10400,1,2,0,0,0,0,0,0,0,0,4423394.02,4842319,0,11
35,79,10100,10400,1,5,0,0,0,0,0,0,0,3,4423394.02,4842319,0,11
35,5,10400,10700,1,5,0,0,0,0,0,0,0,5,4492463.22,4712280,0,7
35,47,10400,10700,1,1,0,0,0,0,1,0,1,0,4492463.22,4712280,0,7
35,122,10400,10700,1,5,0,0,0,0,0,0,0,3,4492463.22,4712280,0,7
35,24,10700,11000,2,5,0,0,0,0,0,0,0,2,4426324.67,4855529,0,16
35,86,10700,11000,1,2,0,0,0,0,0,0,0,0,4426324.67,4855529,0,16
35,57,10700,11000,1,1,0,0,0,0,1,0,1,0,4426324.67,4855529,0,16
35,82,10700,11000,1,2,0,0,0,0,0,0,0,1,4426324.67,4855529,0,16
35,114,10700,11000,1,3,0,0,0,0,0,0,0,3,4426324.67,4855529,0,16
35,72,10700,11000,1,2,0,0,0,0,0,0,0,1,4426324.67,4855529,0,16
35,124,10700,11000,1,2,0,0,0,0,0,0,0,1,4426324.67,4855529,0,16
35,77,10700,11000,1,2,0,0,0,0,0,0,0,0,4426324.67,4855529,0,16
35,99,10700,11000,1,1,0,0,0,0,0,0,0,0,4426324.67,4855529,0,16
35,18,10700,11000,1,2,0,0,0,0,0,0,0,0,4426324.67,4855529,0,16
35,23,10700,11000,1,2,0,0,0,0,0,0,0,1,4426324.67,4855529,0,16
35,39,10700,11000,1,1,0,0,0,0,0,0,0,1,4426324.67,4855529,0,16
35,70,10700,11000,1,2,0,0,0,0,0,0,0,1,4426324.67,4855529,0,16
35,97,10700,11000,1,2,0,0,0,0,0,0,0,1,4426324.67,4855529,0,16
35,81,10700,11000,1,1,0,0,0,0,0,0,0,0,4426324.67,4855529,0,16
35,110,10700,11000,1,1,0,0,0,0,0,0,0,1,4426324.67,4855529,0,16
35,3,10700,11000,2,5,0,0,0,0,0,0,0,2,4426324.67,4855529,0,16
35,54,10700,11000,1,1,0,0,0,0,0,0,0,1,4426324.67,4855529,0,16
35,98,10700,11000,1,2,0,0,0,0,0,0,0,1,4426324.67,4855529,0,16
35,96,10700,11000,1,1,0,0,0,0,0,0,0,0,4426324.67,4855529,0,16
35,108,10700,11000,1,2,0,0,0,0,0,0,0,1,4426324.67,4855529,0,16
35,117,10700,11000,1,1,0,0,0,0,0,0,0,0,4426324.67,4855529,0,16
35,59,11000,11300,1,1,0,0,0,0,0,0,0,1,4614333.21,4906773,0,5
35,82,11000,11300,1,2,0,0,0,0,0,0,0,1,4614333.21,4906773,0,5
35,108,11000,11300,1,2,0,0,0,0,2,1,1,1,4614333.21,4906773,0,5
35,24,11300,11600,1,2,0,0,0,0,4,1,0,0,4149134.91,4722825,0,11
35,84,11300,11600,1,2,0,0,0,0,0,0,0,2,4149134.91,4722825,0,11
35,105,11300,11600,1,2,0,0,0,0,0,0,0,2,4149134.91,4722825,0,11
35,66,11300,11600,1,3,0,0,0,0,0,0,0,2,4149134.91,4722825,0,11
35,124,11300,11600,1,2,0,0,0,0,2,1,1,0,4149134.91,4722825,0,11
35,77,11300,11600,1,2,0,0,0,0,5,1,0,0,4149134.91,4722825,0,11
35,99,11300,11600,1,1,0,0,0,0,0,0,0,0,4149134.91,4722825,0,11
35,39,11300,11600,1,5,0,0,0,0,4,0,0,3,4149134.91,4722825,0,11
35,70,11300,11600,1,2,0,0,0,0,0,0,0,1,4149134.91,4722825,0,11
35,81,11300,11600,1,3,0,0,0,0,0,0,0,0,4149134.91,4722825,0,11
35,110,11300,11600,1,1,0,0,0,0,0,0,0,0,4149134.91,4722825,0,11
35,41,11300,11600,1,1,0,0,0,0,2,1,1,0,4149134.91,4722825,0,11
35,107,11300,11600,1,3,0,0,0,0,0,0,0,2,4149134.91,4722825,0,11
35,98,11300,11600,1,1,0,0,0,0,3,1,0,0,4149134.91,4722825,0,11
35,66,11600,11900,1,2,0,0,0,0,0,0,0,2,4206518.81,4605804,1,3
35,53,11600,11900,1,1,0,0,0,0,0,0,0,1,4206518.81,4605804,1,3
35,39,11600,11900,2,5,0,0,0,0,5,0,0,2,4206518.81,4605804,1,3
35,49,11600,11900,1,1,0,0,0,0,3,2,1,0,4206518.81,4605804,1,3
35,24,11900,12200,1,2,0,0,0,0,0,0,0,1,4381324.42,4869038,0,12
35,2,11900,12200,1,2,0,0,0,0,0,0,0,0,4381324.42,4869038,0,12
35,5,11900,12200,1,2,0,0,0,0,0,0,0,2,4381324.42,4869038,0,12
35,77,11900,12200,1,2,0,0,0,0,5,1,0,0,4381324.42,4869038,0,12
35,87,11900,12200,1,2,0,0,0,0,0,0,0,2,4381324.42,4869038,0,12
35,47,11900,12200,1,1,0,0,0,0,0,0,0,0,4381324.42,4869038,0,12
35,50,11900,12200,1,9,0,0,0,0,0,0,0,7,4381324.42,4869038,0,12
35,26,11900,12200,1,2,0,0,0,0,0,0,0,1,4381324.42,4869038,0,12
35,98,11900,12200,1,2,0,0,0,0,20,0,0,0,4381324.42,4869038,0,12
35,40,11900,12200,1,1,0,0,0,0,2,1,1,0,4381324.42,4869038,0,12
35,80,11900,12200,1,2,0,0,0,0,0,0,0,0,4381324.42,4869038,0,12
35,32,12200,12500,1,4,0,0,0,0,0,0,0,4,4380563.94,4717507,0,2
35,62,12200,12500,1,7,0,0,0,0,8,7,1,1,4380563.94,4717507,0,2
35,32,12500,12800,1,5,0,0,0,0,0,0,0,5,4506435.74,4858701,0,13
35,5,12500,12800,1,8,0,0,0,1,0,0,0,4,4506435.74,4858701,0,13
35,114,12500,12800,1,6,0,0,0,0,8,8,0,0,4506435.74,4858701,0,13
35,58,12500,12800,1,2,0,0,0,0,1,1,0,2,4506435.74,4858701,0,13
35,62,12500,12800,1,34,0,0,0,0,14,14,0,0,4506435.74,4858701,0,13
35,57,12800,13100,1,1,0,0,0,0,0,0,0,1,4644826.12,4831963,0,2
35,111,12800,13100,1,2,0,0,0,0,6,2,1,0,4644826.12,4831963,0,2
35,32,13100,13400,1,1,0,0,0,0,2,1,1,0,4313774.37,4658041,0,7
35,66,13100,13400,2,3,0,0,0,0,4,1,1,0,4313774.37,4658041,0,7
35,38,13100,13400,2,3,0,0,0,0,5,2,1,0,4313774.37,4658041,0,7
35,77,13100,13400,2,3,0,0,0,0,0,0,0,3,4313774.37,4658041,0,7
35,74,13100,13400,2,3,0,0,0,0,0,0,0,0,4313774.37,4658041,0,7
35,21,13100,13400,1,2,0,0,0,0,0,0,0,2,4313774.37,4658041,0,7
35,56,13100,13400,1,1,0,0,0,0,2,0,0,0,4313774.37,4658041,0,7
35,107,13100,13400,1,2,0,0,0,0,0,0,0,1,4313774.37,4658041,0,7
35,62,13100,13400,1,1,0,0,0,0,4,0,0,1,4313774.37,4658041,0,7
35,31,13400,13700,2,3,0,0,0,0,0,0,0,2,4399639.62,4849118,1,16
35,109,13400,13700,1,1,0,0,0,0,0,0,0,1,4399639.62,4849118,1,16
35,33,13400,13700,1,1,0,0,0,0,0,0,0,0,4399639.62,4849118,1,16
35,7,13400,13700,1,2,0,0,0,0,0,0,0,1,4399639.62,4849118,1,16
35,90,13400,13700,2,3,0,0,0,0,0,0,0,2,4399639.62,4849118,1,16
35,97,13400,13700,1,2,0,0,0,0,0,0,0,1,4399639.62,4849118,1,16
35,60,13400,13700,1,1,0,0,0,0,0,0,0,0,4399639.62,4849118,1,16
35,91,13400,13700,1,1,0,0,0,0,0,0,0,1,4399639.62,4849118,1,16
35,96,13400,13700,2,5,0,0,0,0,3,0,0,3,4399639.62,4849118,1,16
35,4,13400,13700,1,2,0,0,0,0,0,0,0,0,4399639.62,4849118,1,16
35,16,13400,13700,1,2,0,0,0,0,0,0,0,3,4399639.62,4849118,1,16
35,48,13400,13700,1,1,0,0,0,0,0,0,0,0,4399639.62,4849118,1,16
35,34,13400,13700,2,3,0,0,0,0,14,1,0,1,4399639.62,4849118,1,16
35,117,13400,13700,1,3,0,0,0,0,0,0,0,2,4399639.62,4849118,1,16
35,59,13700,14000,1,3,0,0,0,0,0,0,0,2,4609912.08,4811150,0,16
35,20,13700,14000,2,10,0,0,0,0,0,0,0,7,4609912.08,4811150,0,16
35,60,13700,14000,1,2,0,0,0,0,1,0,1,1,4609912.08,4811150,0,16
35,55,13700,14000,1,8,0,0,0,0,0,0,0,6,4609912.08,4811150,0,16
35,63,14300,14600,1,1,0,0,0,0,0,0,0,0,4303070.92,4595342,0,3
35,32,14300,14600,1,1,0,0,0,0,0,0,0,0,4303070.92,4595342,0,3
35,93,14300,14600,1,2,0,0,0,0,2,1,1,0,4303070.92,4595342,0,3
35,39,14300,14600,2,12,0,0,0,0,12,10,2,1,4303070.92,4595342,0,3
35,90,14300,14600,1,2,0,0,0,0,0,0,0,2,4303070.92,4595342,0,3
35,28,14300,14600,1,2,0,0,0,0,1,0,1,0,4303070.92,4595342,0,3
35,75,14300,14600,1,2,0,0,0,0,0,0,0,0,4303070.92,4595342,0,3
35,40,14300,14600,1,1,0,0,0,0,0,0,0,1,4303070.92,4595342,0,3
35,69,14600,14900,1,2,0,0,0,0,0,0,0,1,4301962.25,4556543,0,1
35,29,14600,14900,1,2,0,0,0,0,0,0,0,1,4301962.25,4556543,0,1
35,100,14600,14900,1,1,0,0,0,0,0,0,0,1,4301962.25,4556543,0,1
35,2,14900,15200,1,5,0,0,0,0,6,5,1,0,4237909.21,4764405,0,9
35,69,14900,15200,1,9,0,0,0,0,0,0,0,10,4237909.21,4764405,0,9
35,63,15200,15500,1,2,0,0,0,0,3,2,1,0,4360682.25,4732291,0,2
35,32,15200,15500,1,1,0,0,0,0,3,1,1,0,4360682.25,4732291,0,2
35,113,15200,15500,1,3,0,0,0,0,4,3,1,0,4360682.25,4732291,0,2
35,39,15200,15500,1,3,0,0,0,0,4,3,1,0,4360682.25,4732291,0,2
35,21,15200,15500,1,4,0,0,0,0,1,1,0,4,4360682.25,4732291,0,2
35,42,15500,15800,1,2,0,0,0,0,0,0,0,2,4726260.59,4727255,0,1
35,41,15500,15800,1,1,0,0,0,0,3,2,1,0,4726260.59,4727255,0,1
35,111,15500,15800,1,2,0,0,0,0,2,2,0,0,4726260.59,4727255,0,1
35,98,15500,15800,1,2,0,0,0,0,2,1,1,0,4726260.59,4727255,0,1
35,19,15800,16100,1,4,0,0,0,1,0,0,0,0,4399551.78,4778838,0,11
35,28,15800,16100,1,4,0,0,0,0,0,0,0,4,4399551.78,4778838,0,11
35,60,15800,16100,1,7,0,0,0,0,19,8,1,0,4399551.78,4778838,0,11
35,16,15800,16100,1,4,0,0,0,0,0,0,0,1,4399551.78,4778838,0,11
35,52,16100,16400,1,3,0,0,0,0,0,0,0,3,4253851.41,4860853,0,8
35,74,16100,16400,1,5,0,0,0,0,0,0,0,2,4253851.41,4860853,0,8
35,40,16100,16400,1,3,0,0,0,0,3,0,0,2,4253851.41,4860853,0,8
35,32,16400,16700,1,4,0,0,0,0,0,0,0,5,4184614.99,4768951,0,9
35,124,16400,16700,1,2,0,0,0,0,0,0,0,1,4184614.99,4768951,0,9
35,18,16400,16700,1,2,0,0,0,0,0,0,0,2,4184614.99,4768951,0,9
